transcript_id	strand	type	start	end	feature	term_id	score_term	term_start	term_end	rank_term_score	additional_term	start_with_terminator	end_with_terminator
antisense_84	+	RNA	172076	172915								172076.0	172915.0
antisense_85	-	RNA	174596	175364								174596.0	175364.0
antisense_86	-	RNA	175366	175808	RhoDep	T1572	0.531	175482.0	175560.0	1.0		175332.0	175808.0
antisense_87	-	COD	176464	176777	RhoDep	T1574	0.695	176371.0	176449.0	1.0		176221.0	176777.0
antisense_88	+	RNA	182617	182872	RhoDep	T126	0.588	182968.0	183046.0	1.0		182617.0	183196.0
antisense_89	+	COD	182982	183605								182982.0	183605.0
antisense_90	+	COD	186580	187371	RhoDep	T130	0.636	187271.0	187349.0	1.0		186580.0	187499.0
antisense_91	+	RNA	187673	187842	RhoDep	T132	0.607	187786.0	187864.0	1.0		187673.0	188014.0
antisense_92	+	RNA	188000	188325	RhoDep	T133	0.684	188268.0	188346.0	1.0		188000.0	188496.0
antisense_93	-	COD	190461	191237	RhoDep	T1583	0.689	190402.0	190480.0	1.0		190252.0	191237.0
antisense_94	+	RNA	195168	195207								195168.0	195207.0
antisense_95	+	RNA	195235	195937								195235.0	195937.0
antisense_96	+	RNA	195938	196544	Intrinsic	TERM2883	0.692	196096.0	196122.0	1.0		195938.0	196122.0
antisense_97	-	RNA	197543	198140								197543.0	198140.0
antisense_98	-	RNA	198167	198298								198167.0	198298.0
antisense_99	-	COD	198342	198963								198342.0	198963.0
antisense_100	-	RNA	201740	202032								201740.0	202032.0
antisense_101	-	RNA	204445	205353	Intrinsic	TERM3007	0.923	204559.0	204584.0	1.0		204559.0	205353.0
orphan_3	+	COD	205718	206015	Intrinsic	TERM3026	0.177	205823.0	205837.0	1.0		205718.0	205837.0
orphan_4	-	RNA	205791	205880								205791.0	205880.0
antisense_102	+	RNA	212827	213443	RhoDep	T148	0.31	212994.0	213072.0	1.0		212827.0	213222.0
antisense_103	+	RNA	214774	215683	RhoDep	T149	0.295	214860.0	214938.0	1.0		214774.0	215088.0
antisense_104	+	RNA	216734	217643	RhoDep	T152	0.418	217040.0	217118.0	1.0		216734.0	217268.0
antisense_105	+	COD	218599	219124	RhoDep	T153	0.372	218804.0	218882.0	1.0		218599.0	219032.0
antisense_106	-	RNA	221199	221608	RhoDep	T1621	0.711	221030.0	221108.0	1.0		220880.0	221608.0
antisense_107	+	RNA	222252	223132	RhoDep	T157	0.524	223039.0	223117.0	1.0		222252.0	223267.0
antisense_108	+	RNA	224445	224624								224445.0	224624.0
antisense_109	+	RNA	224761	225055								224761.0	225055.0
antisense_110	+	RNA	225169	225958								225169.0	225958.0
antisense_111	-	RNA	226565	226673	RhoDep	T1625	0.429	226182.0	226260.0	1.0		226032.0	226673.0
antisense_112	+	RNA	228179	228392								228179.0	228392.0
antisense_113	+	RNA	228397	228907								228397.0	228907.0
antisense_114	-	RNA	228444	228846								228444.0	228846.0
antisense_115	-	RNA	228879	228904								228879.0	228904.0
antisense_116	-	RNA	229233	229873	RhoDep	T1626	0.524	228947.0	229025.0	1.0		228797.0	229873.0
antisense_117	+	RNA	230435	230463	RhoDep	T162	0.535	230647.0	230725.0	1.0		230435.0	230875.0
antisense_118	+	RNA	230715	231621	RhoDep	T164	0.68	231584.0	231662.0	1.0		230715.0	231812.0
antisense_119	-	RNA	234737	234803								234737.0	234803.0
antisense_120	-	RNA	235041	235315								235041.0	235315.0
antisense_121	-	RNA	236771	237207	Intrinsic	TERM3413	0.814	236670.0	236690.0	1.0		236670.0	237207.0
antisense_122	+	RNA	245420	245499								245420.0	245499.0
antisense_123	+	RNA	245537	246446								245537.0	246446.0
antisense_124	+	RNA	246758	247657								246758.0	247657.0
antisense_125	-	RNA	250027	250143	RhoDep	T1643	0.661	249646.0	249724.0	1.0		249496.0	250143.0
antisense_126	-	RNA	250730	251413								250730.0	251413.0
antisense_127	-	COD	255232	256132	RhoDepWithHP	T1654	0.638	255329.0	255432.0	1.0	TERM3694	255329.0	256132.0
antisense_128	-	RNA	258347	258481	RhoDep	T1660	0.677	258018.0	258096.0	1.0		257868.0	258481.0
antisense_129	-	COD	258492	258753	Intrinsic	TERM3737	0.047	258701.0	258733.0	1.0		258701.0	258753.0
antisense_130	+	RNA	259015	259064								259015.0	259064.0
antisense_131	+	RNA	259581	260382	RhoDep	T178	0.669	260329.0	260407.0	1.0		259581.0	260557.0
antisense_132	+	RNA	263160	263809								263160.0	263809.0
antisense_133	+	RNA	263958	264864	RhoDep	T188	0.679	264826.0	264904.0	1.0		263958.0	265054.0
antisense_134	+	RNA	264930	265839	RhoDep	T189	0.558	265219.0	265297.0	1.0		264930.0	265447.0
antisense_135	+	RNA	266109	267018	RhoDep	T191	0.547	266740.0	266818.0	1.0		266109.0	266968.0
antisense_136	+	RNA	267262	267384								267262.0	267384.0
antisense_137	+	RNA	267404	267420								267404.0	267420.0
antisense_138	+	RNA	267521	268237	RhoDep	T194	0.554	268320.0	268398.0	1.0		267521.0	268548.0
antisense_139	+	RNA	268323	269004	RhoDep	T195	0.309	268608.0	268686.0	1.0		268323.0	268836.0
antisense_140	+	RNA	272293	272340								272293.0	272340.0
antisense_141	+	COD	272468	272985	RhoDep	T200	0.392	272536.0	272614.0	1.0		272468.0	272764.0
antisense_142	-	RNA	280363	280412	RhoDep	T1669	0.656	280129.0	280207.0	1.0		279979.0	280412.0
antisense_143	+	RNA	280937	281059								280937.0	281059.0
antisense_144	+	COD	281063	281947	RhoDep	T205	0.474	281376.0	281454.0	1.0		281063.0	281604.0
antisense_145	-	RNA	284282	285009	RhoDep	T1674	0.614	284424.0	284502.0	1.0		284274.0	285009.0
antisense_146	-	RNA	286583	287492	RhoDep	T1678	0.693	286609.0	286687.0	1.0		286459.0	287492.0
antisense_147	-	RNA	290902	291618								290902.0	291618.0
antisense_148	-	RNA	293631	293826	RhoDep	T1691	0.628	293179.0	293257.0	1.0		293029.0	293826.0
antisense_149	-	RNA	293832	294599	Intrinsic	TERM4314	0.179	294353.0	294387.0	1.0		294353.0	294599.0
antisense_150	-	RNA	296423	296859	RhoDep	T1693	0.642	296113.0	296191.0	1.0		295963.0	296859.0
antisense_151	+	COD	299160	300012	RhoDep	T210	0.66	299941.0	300019.0	1.0		299160.0	300169.0
antisense_152	+	RNA	300855	301580								300855.0	301580.0
antisense_153	+	COD	304955	305826	RhoDep	T214	0.346	305261.0	305339.0	1.0		304955.0	305489.0
antisense_154	+	RNA	314221	314468	RhoDep	T223	0.646	314475.0	314553.0	1.0		314221.0	314703.0
antisense_155	+	RNA	314805	314957	Intrinsic	TERM4634	0.449	315043.0	315058.0	1.0		314805.0	315058.0
antisense_156	-	RNA	316792	317304								316792.0	317304.0
antisense_157	-	COD	317331	317514	RhoDep	T1714	0.588	317296.0	317374.0	1.0		317146.0	317514.0
antisense_158	-	RNA	318853	318966	RhoDep	T1717	0.659	318635.0	318713.0	1.0		318485.0	318966.0
antisense_159	-	RNA	321391	321808	RhoDep	T1721	0.715	321346.0	321424.0	1.0		321196.0	321808.0
antisense_160	-	RNA	321862	321998								321862.0	321998.0
antisense_161	+	RNA	324120	324913	Intrinsic	TERM4785	0.543	324139.0	324159.0	1.0		324120.0	324159.0
antisense_162	+	COD	325290	325513	RhoDep	T225	0.58	325400.0	325478.0	1.0		325290.0	325628.0
antisense_163	+	RNA	331538	331974	RhoDep	T229	0.64	331903.0	331981.0	1.0		331538.0	332131.0
antisense_164	+	COD	333525	333727	RhoDep	T232	0.738	333771.0	333849.0	1.0		333525.0	333999.0
antisense_165	+	RNA	336150	337059	RhoDep	T235	0.387	336217.0	336295.0	1.0		336150.0	336445.0
antisense_166	+	RNA	337810	337904								337810.0	337904.0
antisense_167	+	COD	337904	338387	RhoDep	T236	0.232	337978.0	338056.0	1.0		337904.0	338206.0
antisense_168	+	RNA	338412	338811								338412.0	338811.0
antisense_169	-	RNA	338955	339638	Intrinsic	TERM5018	0.336	339134.0	339155.0	1.0		339134.0	339638.0
antisense_170	-	RNA	341167	342076	RhoDep	T1737	0.586	341297.0	341375.0	1.0		341147.0	342076.0
antisense_171	-	RNA	343754	344072	RhoDep	T1740	0.656	343432.0	343510.0	1.0		343282.0	344072.0
antisense_172	-	RNA	344088	344864								344088.0	344864.0
antisense_173	-	RNA	344998	345461	Intrinsic	TERM5089	0.576	344931.0	344943.0	1.0		344931.0	345461.0
antisense_174	+	RNA	346114	347021	RhoDep	T237	0.547	346652.0	346730.0	1.0		346114.0	346880.0
antisense_175	+	RNA	347169	348059	Intrinsic	TERM5116	0.534	347221.0	347239.0	1.0		347169.0	347239.0
antisense_176	+	COD	349019	349915	RhoDep	T241	0.66	349754.0	349832.0	1.0		349019.0	349982.0
antisense_177	-	RNA	356106	357015								356106.0	357015.0
antisense_178	-	RNA	357121	357213								357121.0	357213.0
antisense_179	+	RNA	358029	358438	Intrinsic	TERM5266	0.844	358715.0	358747.0	1.0		358029.0	358747.0
antisense_180	+	COD	358769	359557	RhoDep	T245	0.459	359226.0	359304.0	1.0		358769.0	359454.0
antisense_181	+	RNA	359575	360482	RhoDep	T247	0.726	360257.0	360335.0	1.0		359575.0	360485.0
antisense_182	+	RNA	362288	362441	Intrinsic	TERM5321	0.669	362560.0	362583.0	1.0		362288.0	362583.0
antisense_183	+	RNA	362787	363346								362787.0	363346.0
antisense_184	+	RNA	363362	364213								363362.0	364213.0
antisense_185	-	RNA	364525	364817	RhoDep	T1760	0.554	364384.0	364462.0	1.0		364234.0	364817.0
antisense_186	-	RNA	368845	369358								368845.0	369358.0
antisense_187	-	COD	375425	376093	RhoDep	T1779	0.778	375152.0	375230.0	1.0		375002.0	376093.0
antisense_188	-	RNA	376245	376413								376245.0	376413.0
antisense_190	-	RNA	376884	377771	RhoDep	T1783	0.56	377134.0	377212.0	1.0		376984.0	377771.0
antisense_191	+	RNA	385986	386096								385986.0	386096.0
antisense_192	-	RNA	392036	392152								392036.0	392152.0
antisense_193	-	RNA	392335	393055	RhoDep	T1806	0.443	392749.0	392827.0	1.0		392599.0	393055.0
orphan_5	+	RNA	393758	394129								393758.0	394129.0
antisense_194	-	RNA	394600	395211	RhoDep	T1809	0.674	394464.0	394542.0	1.0		394314.0	395211.0
orphan_7	+	RNA	396081	396442	Intrinsic	TERM5824	0.172	396097.0	396119.0	1.0		396081.0	396119.0
antisense_195	-	RNA	395696	396372								395696.0	396372.0
antisense_196	-	COD	405380	405850	Intrinsic	TERM5943	0.908	405021.0	405053.0	1.0		405021.0	405850.0
antisense_197	+	RNA	409254	409300								409254.0	409300.0
antisense_198	-	COD	410352	411154	RhoDep	T1841	0.469	410570.0	410648.0	1.0		410420.0	411154.0
antisense_199	-	RNA	412286	413019	RhoDep	T1846	0.433	412642.0	412720.0	1.0		412492.0	413019.0
antisense_200	-	RNA	413022	413711								413022.0	413711.0
antisense_201	-	RNA	414150	414331								414150.0	414331.0
antisense_202	+	RNA	416636	416945	Intrinsic	TERM6121	0.02	416646.0	416665.0	1.0		416636.0	416665.0
antisense_203	-	RNA	417483	418392	RhoDep	T1849	0.668	417827.0	417905.0	1.0		417677.0	418392.0
antisense_204	+	RNA	421514	422238	RhoDep	T272	0.608	422334.0	422412.0	1.0		421514.0	422562.0
antisense_205	+	RNA	422673	423410								422673.0	423410.0
antisense_206	-	RNA	424156	425033								424156.0	425033.0
antisense_207	-	RNA	429037	429913	RhoDep	T1858	0.557	429481.0	429559.0	1.0		429331.0	429913.0
antisense_208	-	RNA	433999	434908	RhoDep	T1864	0.736	433941.0	434019.0	1.0		433791.0	434908.0
antisense_209	-	COD	435043	435699	RhoDep	T1867	0.742	434942.0	435020.0	1.0		434792.0	435699.0
antisense_210	-	RNA	439995	440369	RhoDep	T1878	0.719	439946.0	440024.0	1.0		439796.0	440369.0
antisense_211	-	RNA	446832	446900	Intrinsic	TERM6543	0.929	446826.0	446850.0	1.0		446826.0	446900.0
antisense_212	+	RNA	447690	447759								447690.0	447759.0
antisense_213	+	RNA	447837	448164	Intrinsic	TERM6573	0.521	448549.0	448562.0	1.0		447837.0	448562.0
antisense_214	-	RNA	451331	451542	RhoDep	T1903	0.583	450894.0	450972.0	1.0		450744.0	451542.0
antisense_215	-	RNA	452320	453024	RhoDep	T1904	0.378	452753.0	452831.0	1.0		452603.0	453024.0
antisense_216	-	RNA	459666	460575	RhoDep	T1922	0.644	459781.0	459859.0	1.0		459631.0	460575.0
antisense_217	-	RNA	463737	464001	RhoDep	T1926	0.531	463048.0	463126.0	1.0		462898.0	464001.0
antisense_218	+	RNA	466918	467027								466918.0	467027.0
antisense_219	+	RNA	467087	467969								467087.0	467969.0
antisense_220	-	RNA	471548	472457	RhoDep	T1938	0.665	471624.0	471702.0	1.0		471474.0	472457.0
antisense_221	-	COD	472846	473572	RhoDep	T1940	0.511	473069.0	473147.0	1.0		472919.0	473572.0
antisense_222	-	COD	473855	474561	RhoDep	T1942	0.714	473659.0	473737.0	1.0		473509.0	474561.0
antisense_223	+	RNA	476292	477097	RhoDep	T291	0.606	476878.0	476956.0	1.0		476292.0	477106.0
antisense_224	-	RNA	481246	482117								481246.0	482117.0
antisense_225	-	RNA	484859	485766	RhoDepWithHP	T1951	0.622	484873.0	485091.0	1.0	TERM7073	484873.0	485766.0
antisense_226	+	RNA	487985	488199	RhoDep	T297	0.68	488258.0	488336.0	1.0		487985.0	488486.0
antisense_227	+	RNA	488992	489315								488992.0	489315.0
antisense_228	+	COD	489426	489950								489426.0	489950.0
antisense_229	+	RNA	489961	490870								489961.0	490870.0
antisense_230	-	RNA	491901	492078	Intrinsic	TERM7162	0.43	491825.0	491837.0	1.0		491825.0	492078.0
antisense_231	-	RNA	493013	493921								493013.0	493921.0
antisense_232	-	RNA	501520	502175	RhoDep	T1976	0.718	501326.0	501404.0	1.0		501176.0	502175.0
antisense_233	-	RNA	503488	504163	RhoDep	T1978	0.523	503215.0	503293.0	1.0		503065.0	504163.0
antisense_234	-	RNA	506542	507096								506542.0	507096.0
antisense_235	-	RNA	508388	509288	RhoDep	T1991	0.362	509013.0	509091.0	1.0		508863.0	509288.0
antisense_236	-	COD	509294	509334								509294.0	509334.0
antisense_237	-	COD	509339	509445	RhoDep	T1992	0.395	509328.0	509406.0	1.0		509178.0	509445.0
antisense_238	-	RNA	511537	512357								511537.0	512357.0
antisense_239	-	RNA	516017	516926	RhoDep	T2004	0.33	516703.0	516781.0	1.0		516553.0	516926.0
antisense_240	-	RNA	517324	517362								517324.0	517362.0
antisense_241	+	RNA	520887	521521								520887.0	521521.0
antisense_242	-	RNA	522782	523158	RhoDep	T2010	0.56	522191.0	522269.0	1.0		522041.0	523158.0
antisense_243	-	RNA	523223	523491								523223.0	523491.0
antisense_244	+	RNA	524004	524242	RhoDep	T308	0.657	524274.0	524352.0	1.0		524004.0	524502.0
antisense_245	+	RNA	524398	524950								524398.0	524950.0
antisense_246	-	RNA	526173	526653	RhoDep	T2014	0.636	525862.0	525940.0	1.0		525712.0	526653.0
antisense_247	-	RNA	527441	528350								527441.0	528350.0
antisense_248	-	RNA	528506	528700								528506.0	528700.0
antisense_249	-	RNA	530544	530783	RhoDep	T2017	0.685	530513.0	530591.0	1.0		530363.0	530783.0
antisense_251	-	RNA	530932	531009								530932.0	531009.0
antisense_252	-	RNA	531227	531796								531227.0	531796.0
antisense_253	-	RNA	533522	533951	RhoDep	T2018	0.713	533394.0	533472.0	1.0		533244.0	533951.0
antisense_254	-	RNA	536798	537481								536798.0	537481.0
antisense_255	+	RNA	538212	539121	RhoDep	T317	0.25	538393.0	538471.0	1.0		538212.0	538621.0
antisense_256	+	RNA	550859	551662	RhoDep	T321	0.586	551399.0	551477.0	1.0		550859.0	551627.0
antisense_257	+	RNA	551663	552157	RhoDep	T322	0.234	551696.0	551774.0	1.0		551663.0	551924.0
antisense_258	+	RNA	552158	552721								552158.0	552721.0
antisense_259	+	RNA	559187	559207								559187.0	559207.0
antisense_260	+	COD	559299	559334								559299.0	559334.0
antisense_261	+	COD	559350	560146	RhoDep	T325	0.544	559659.0	559737.0	1.0		559350.0	559887.0
antisense_262	+	RNA	560149	560604								560149.0	560604.0
antisense_263	+	RNA	560782	561691	RhoDep	T326	0.482	561295.0	561373.0	1.0		560782.0	561523.0
antisense_264	-	COD	562461	562920	Intrinsic	TERM8103	0.486	562840.0	562853.0	1.0		562840.0	562920.0
antisense_265	-	RNA	567513	568297								567513.0	568297.0
antisense_266	-	RNA	568298	568769								568298.0	568769.0
antisense_267	+	RNA	572472	572547	RhoDep	T330	0.66	572579.0	572657.0	1.0		572472.0	572807.0
antisense_268	+	RNA	572712	573102	RhoDep	T331	0.456	572892.0	572970.0	1.0		572712.0	573120.0
antisense_269	-	COD	575338	576173	RhoDep	T2062	0.537	575543.0	575621.0	1.0		575393.0	576173.0
antisense_270	-	COD	576183	576844								576183.0	576844.0
antisense_271	-	RNA	577154	577945								577154.0	577945.0
antisense_272	-	RNA	581602	581770	RhoDep	T2064	0.639	581329.0	581407.0	1.0		581179.0	581770.0
antisense_273	-	RNA	582010	582234	RhoDep	T2066	0.716	581895.0	581973.0	1.0		581745.0	582234.0
antisense_274	-	RNA	582578	582717								582578.0	582717.0
antisense_275	-	RNA	582739	583452								582739.0	583452.0
antisense_276	-	RNA	583600	583820								583600.0	583820.0
antisense_277	-	RNA	587334	587535	RhoDep	T2076	0.634	587208.0	587286.0	1.0		587058.0	587535.0
antisense_278	-	RNA	587764	588673								587764.0	588673.0
antisense_279	-	RNA	589220	589379	RhoDep	T2077	0.548	589247.0	589325.0	1.0		589097.0	589379.0
antisense_280	-	RNA	589379	589626								589379.0	589626.0
antisense_281	+	RNA	591678	592456								591678.0	592456.0
antisense_282	-	RNA	597777	598686	RhoDep	T2089	0.405	598418.0	598496.0	1.0		598268.0	598686.0
antisense_283	+	COD	599888	600710	RhoDep	T342	0.71	600756.0	600834.0	1.0		599888.0	600984.0
antisense_284	-	RNA	602276	603168	RhoDep	T2093	0.348	602828.0	602906.0	1.0		602678.0	603168.0
antisense_285	-	RNA	603226	603461								603226.0	603461.0
antisense_286	-	RNA	607100	607689								607100.0	607689.0
antisense_287	-	RNA	608412	608476	RhoDep	T2104	0.592	608154.0	608232.0	1.0		608004.0	608476.0
antisense_288	+	RNA	613207	613948	RhoDep	T348	0.671	613973.0	614051.0	1.0		613207.0	614201.0
antisense_289	+	COD	617308	617362								617308.0	617362.0
antisense_290	+	RNA	617370	617569								617370.0	617569.0
antisense_291	+	RNA	617636	617652								617636.0	617652.0
antisense_292	+	RNA	617689	618595	RhoDep	T352	0.635	618478.0	618556.0	1.0		617689.0	618706.0
antisense_293	+	RNA	621952	622353	RhoDep	T361	0.612	622423.0	622501.0	1.0		621952.0	622651.0
antisense_294	-	RNA	622681	623017								622681.0	623017.0
antisense_295	-	COD	625958	626508	RhoDep	T2122	0.718	625725.0	625803.0	1.0		625575.0	626508.0
antisense_296	-	COD	626532	626800								626532.0	626800.0
antisense_297	-	RNA	626817	626859	RhoDep	T2125	0.607	626723.0	626801.0	1.0		626573.0	626859.0
antisense_298	-	RNA	626860	627279								626860.0	627279.0
antisense_299	-	RNA	627934	628334	RhoDep	T2126	0.692	627728.0	627806.0	1.0		627578.0	628334.0
antisense_300	-	COD	630416	630879	RhoDep	T2133	0.556	630494.0	630572.0	1.0		630344.0	630879.0
antisense_301	-	RNA	632004	632913	RhoDep	T2137	0.717	631986.0	632064.0	1.0		631836.0	632913.0
antisense_302	+	RNA	635315	635610								635315.0	635610.0
antisense_304	-	RNA	636834	637695	RhoDep	T2142	0.717	636814.0	636892.0	1.0		636664.0	637695.0
antisense_305	+	RNA	638501	638525								638501.0	638525.0
antisense_306	+	RNA	638604	638655								638604.0	638655.0
antisense_307	+	RNA	638675	638769								638675.0	638769.0
antisense_308	+	RNA	639384	639555								639384.0	639555.0
antisense_309	+	RNA	641346	641406								641346.0	641406.0
antisense_310	+	COD	641452	641777	RhoDep	T368	0.695	641737.0	641815.0	1.0		641452.0	641965.0
antisense_311	-	COD	642087	642460	RhoDep	T2150	0.445	642178.0	642256.0	1.0		642028.0	642460.0
antisense_312	-	COD	642789	643445	Intrinsic	TERM9280	0.56	643255.0	643271.0	1.0		643255.0	643445.0
antisense_313	+	RNA	644852	645761	RhoDep	T369	0.414	645150.0	645228.0	1.0		644852.0	645378.0
antisense_314	+	RNA	647891	647959								647891.0	647959.0
antisense_315	+	RNA	649496	650405	Intrinsic	TERM9364	0.356	649597.0	649618.0	1.0		649496.0	649618.0
