transcript_id	position	strand	transcript_length	winner	feature	term_start	term_end	mfe	summary	GeneStart	GeneEnd	GeneLength	GeneLengthWithUTR	url_for_image
antisense_92	193973	+	444	RNA	RhoDep	194247.0	194325.0	-88.9	NA	193973.0	194475.0	503.0	503.0	antisense_92_ss.jpg
antisense_93	194417	+	862	RNA	Intrinsic	195149.0	195169.0	-138.5	NA	194417.0	195169.0	753.0	753.0	antisense_93_ss.jpg
antisense_100	210118	+	862	RNA	RhoDep	210203.0	210281.0	-51.6	[['motif_0', 29, 0.00288], ['motif_3', 15, 0.000908]]	210118.0	210431.0	314.0	314.0	antisense_100_ss.jpg
antisense_101	211561	+	862	RNA	RhoDep	212252.0	212330.0	-178.0	[['motif_0', 29, 0.00317]]	211561.0	212480.0	920.0	920.0	antisense_101_ss.jpg
antisense_102	220241	+	862	RNA	RhoDep	220375.0	220453.0	-59.0	[['motif_0', 29, 0.00062]]	220242.0	220603.0	362.0	363.0	antisense_102_ss.jpg
antisense_103	221782	+	862	RNA	RhoDep	221934.0	222012.0	-60.4	[['motif_0', 29, 0.000996]]	221782.0	222162.0	381.0	381.0	antisense_103_ss.jpg
antisense_107	235007	+	647	RNA	RhoDepWithHP	235394.0	235507.0	-84.5	NA	235008.0	235507.0	500.0	501.0	antisense_107_ss.jpg
antisense_108	235654	+	862	RNA	RhoDep	235811.0	235889.0	-66.3	[['motif_0', 30, 0.00125]]	235654.0	236039.0	386.0	386.0	antisense_108_ss.jpg
antisense_109	236791	+	769	RNA	RhoDep	236986.0	237064.0	-50.6	[['motif_0', 30, 0.000221]]	236832.0	237214.0	383.0	424.0	antisense_109_ss.jpg
antisense_110	237560	+	862	RNA	RhoDep	238026.0	238104.0	-108.9	NA	237560.0	238254.0	695.0	695.0	antisense_110_ss.jpg
antisense_111	241245	+	862	RNA	NA	NA	NA	-169.4	[['motif_0', 29, 0.000221]]	241245.0	242105.0	861.0	861.0	antisense_111_ss.jpg
antisense_113	250033	+	862	RNA	RhoDep	250119.0	250197.0	-61.0	[['motif_0', 30, 0.000427]]	250042.0	250347.0	306.0	315.0	antisense_113_ss.jpg
antisense_114	251994	+	862	RNA	RhoDep	252300.0	252378.0	-77.3	[['motif_0', 29, 9.2e-05], ['motif_3', 7, 0.000253]]	251995.0	252528.0	534.0	535.0	antisense_114_ss.jpg
antisense_115	253859	+	72	RNA	NA	NA	NA	-1.8	NA	253860.0	253880.0	21.0	22.0	antisense_115_ss.jpg
antisense_116	253931	+	642	COD	NA	NA	NA	NA	[['motif_0', 3, 0.00192]]	254133.0	254384.0	252.0	454.0	
antisense_119	257513	+	862	RNA	RhoDep	258300.0	258378.0	-190.0	[['motif_0', 29, 6.93e-06]]	258268.0	258528.0	261.0	1016.0	antisense_119_ss.jpg
antisense_120	259704	+	722	RNA	NA	NA	NA	-28.2	[['motif_0', 4, 0.00288]]	259852.0	259884.0	33.0	181.0	antisense_120_ss.jpg
antisense_121	260426	+	790	RNA	NA	NA	NA	-136.8	NA	260431.0	261215.0	785.0	790.0	antisense_121_ss.jpg
antisense_123	262867	+	216	RNA	NA	NA	NA	-35.4	[['motif_0', 29, 0.00288], ['motif_3', 10, 0.000908]]	263021.0	263080.0	60.0	214.0	antisense_123_ss.jpg
antisense_124	263083	+	510	RNA	NA	NA	NA	-79.1	[['motif_0', 30, 0.00213]]	263083.0	263592.0	510.0	510.0	antisense_124_ss.jpg
antisense_127	265122	+	862	RNA	NA	NA	NA	-113.7	[['motif_3', 43, 0.000908]]	265871.0	265903.0	33.0	782.0	antisense_127_ss.jpg
antisense_133	276422	+	862	RNA	RhoDep	276720.0	276798.0	-102.7	[['motif_0', 31, 0.000144]]	276422.0	276948.0	527.0	527.0	antisense_133_ss.jpg
antisense_134	277817	+	689	RNA	NA	NA	NA	-130.7	[['motif_0', 29, 0.000125]]	278445.0	278468.0	24.0	652.0	antisense_134_ss.jpg
antisense_136	279580	+	862	RNA	RhoDep	279878.0	279956.0	-102.7	[['motif_0', 31, 0.00261]]	279580.0	280106.0	527.0	527.0	antisense_136_ss.jpg
antisense_137	281785	+	65	RNA	NA	NA	NA	0.0	[['motif_3', 4, 0.000908]]	281790.0	281798.0	9.0	14.0	antisense_137_ss.jpg
antisense_138	281850	+	862	RNA	Intrinsic	282078.0	282100.0	-41.7	[['motif_0', 30, 0.000192]]	281855.0	282100.0	246.0	251.0	antisense_138_ss.jpg
antisense_144	295327	+	862	RNA	RhoDep	296143.0	296221.0	-192.7	[['motif_0', 31, 0.000221]]	295336.0	296371.0	1036.0	1045.0	antisense_144_ss.jpg
antisense_145	299472	+	862	COD	RhoDep	299811.0	299889.0	NA	[['motif_3', 17, 0.000253]]	299563.0	300039.0	477.0	568.0	
antisense_146	301242	+	862	COD	RhoDep	301531.0	301609.0	NA	[['motif_0', 30, 6.67e-05]]	301280.0	301759.0	480.0	518.0	
antisense_147	302421	+	68	COD	NA	NA	NA	NA	[['motif_0', 29, 2.2e-05]]	302437.0	302475.0	39.0	55.0	
antisense_148	302489	+	862	RNA	RhoDep	303052.0	303130.0	-152.6	[['motif_0', 24, 0.000484]]	302505.0	303280.0	776.0	792.0	antisense_148_ss.jpg
antisense_149	303574	+	142	RNA	NA	NA	NA	-23.4	[['motif_0', 30, 0.00192]]	303670.0	303696.0	27.0	123.0	antisense_149_ss.jpg
antisense_150	303716	+	117	RNA	NA	NA	NA	0.0	[['motif_0', 29, 0.000996]]	303718.0	303732.0	15.0	17.0	antisense_150_ss.jpg
antisense_151	303833	+	802	RNA	RhoDep	304632.0	304710.0	-180.9	[['motif_3', 27, 0.000253]]	304418.0	304860.0	443.0	1028.0	antisense_151_ss.jpg
antisense_152	304635	+	690	RNA	RhoDep	304921.0	304999.0	-84.8	[['motif_0', 30, 0.000107]]	304638.0	305149.0	512.0	515.0	antisense_152_ss.jpg
antisense_153	308123	+	175	RNA	NA	NA	NA	-0.8	[['motif_0', 29, 0.00173]]	308144.0	308170.0	27.0	48.0	antisense_153_ss.jpg
antisense_154	308298	+	804	COD	NA	NA	NA	NA	NA	308354.0	308926.0	573.0	629.0	
antisense_155	310373	+	862	RNA	RhoDep	311011.0	311089.0	-186.3	[['motif_0', 29, 0.000289]]	310402.0	311239.0	838.0	867.0	antisense_155_ss.jpg
antisense_156	313016	+	538	RNA	NA	NA	NA	-89.5	[['motif_0', 30, 4.03e-06]]	313022.0	313553.0	532.0	538.0	antisense_156_ss.jpg
antisense_157	313554	+	862	RNA	NA	NA	NA	-164.1	[['motif_0', 29, 0.000167]]	313557.0	314415.0	859.0	862.0	antisense_157_ss.jpg
antisense_160	316774	+	126	RNA	NA	NA	NA	-18.6	NA	316885.0	316896.0	12.0	123.0	antisense_160_ss.jpg
antisense_161	316900	+	862	RNA	RhoDep	317213.0	317291.0	-91.8	[['motif_0', 28, 7.85e-05], ['motif_3', 7, 0.000253]]	316935.0	317441.0	507.0	542.0	antisense_161_ss.jpg
antisense_168	334994	+	862	RNA	RhoDep	335523.0	335601.0	-144.2	[['motif_0', 31, 5.32e-06]]	335138.0	335751.0	614.0	758.0	antisense_168_ss.jpg
antisense_169	336689	+	862	RNA	NA	NA	NA	-106.7	NA	337274.0	337351.0	78.0	663.0	antisense_169_ss.jpg
antisense_170	347018	+	756	RNA	NA	NA	NA	-9.5	[['motif_0', 8, 0.000289]]	347026.0	347076.0	51.0	59.0	antisense_170_ss.jpg
antisense_171	347774	+	862	RNA	NA	NA	NA	-122.24	[['motif_0', 19, 0.00125], ['motif_3', 11, 0.000908]]	347774.0	348635.0	862.0	862.0	antisense_171_ss.jpg
antisense_172	351904	+	584	RNA	RhoDep	352158.0	352236.0	-60.74	NA	352062.0	352386.0	325.0	483.0	antisense_172_ss.jpg
antisense_178	361806	+	862	COD	NA	NA	NA	NA	[['motif_0', 29, 0.00139]]	362160.0	362378.0	219.0	573.0	
antisense_179	362976	+	704	COD	RhoDep	363086.0	363164.0	NA	[['motif_0', 29, 0.00213]]	363029.0	363314.0	286.0	339.0	
antisense_181	369224	+	862	RNA	RhoDep	369589.0	369667.0	-106.2	[['motif_0', 12, 0.000376]]	369226.0	369817.0	592.0	594.0	antisense_181_ss.jpg
antisense_182	371211	+	277	RNA	NA	NA	NA	-56.6	NA	371382.0	371444.0	63.0	234.0	antisense_182_ss.jpg
antisense_183	371488	+	862	COD	RhoDep	372033.0	372111.0	NA	[['motif_0', 29, 1.6e-06], ['motif_3', 13, 0.000908]]	371617.0	372261.0	645.0	774.0	
antisense_184	372941	+	862	COD	Intrinsic	373218.0	373246.0	NA	NA	373185.0	373246.0	62.0	306.0	
antisense_185	373836	+	862	RNA	NA	NA	NA	-171.7	NA	374046.0	374692.0	647.0	857.0	antisense_185_ss.jpg
antisense_186	375495	+	94	RNA	NA	NA	NA	-10.5	[['motif_0', 29, 0.000549]]	375578.0	375589.0	12.0	95.0	antisense_186_ss.jpg
antisense_187	375589	+	508	COD	NA	NA	NA	NA	NA	375725.0	376090.0	366.0	502.0	
antisense_188	376097	+	622	RNA	NA	NA	NA	-47.1	NA	376470.0	376496.0	27.0	400.0	antisense_188_ss.jpg
antisense_194	383800	+	862	RNA	RhoDep	384338.0	384416.0	-161.0	[['motif_0', 29, 0.00125]]	383818.0	384566.0	749.0	767.0	antisense_194_ss.jpg
antisense_195	384855	+	862	RNA	NA	NA	NA	-151.2	NA	384885.0	385714.0	830.0	860.0	antisense_195_ss.jpg
antisense_196	386705	+	38	RNA	NA	NA	NA	0.0	[['motif_0', 3, 0.00062]]	386710.0	386718.0	9.0	14.0	antisense_196_ss.jpg
antisense_197	386743	+	862	RNA	RhoDep	387440.0	387518.0	-192.5	[['motif_0', 28, 0.000125]]	387405.0	387668.0	264.0	926.0	antisense_197_ss.jpg
antisense_200	395715	+	740	RNA	NA	NA	NA	-85.4	[['motif_0', 30, 0.00173]]	396011.0	396124.0	114.0	410.0	antisense_200_ss.jpg
antisense_201	396455	+	806	COD	Intrinsic	397244.0	397261.0	NA	NA	396538.0	397261.0	724.0	807.0	
antisense_202	397261	+	862	RNA	RhoDep	397943.0	398021.0	-155.8	[['motif_0', 29, 1.99e-08]]	397262.0	398171.0	910.0	911.0	antisense_202_ss.jpg
antisense_203	399973	+	862	RNA	NA	NA	NA	-142.4	[['motif_0', 28, 0.00213]]	399973.0	400797.0	825.0	825.0	antisense_203_ss.jpg
antisense_204	401047	+	437	RNA	NA	NA	NA	-1.4	[['motif_0', 28, 0.000549]]	401050.0	401070.0	21.0	24.0	antisense_204_ss.jpg
antisense_205	401484	+	443	RNA	NA	NA	NA	-47.0	NA	401717.0	401758.0	42.0	275.0	antisense_205_ss.jpg
antisense_207	408525	+	829	RNA	NA	NA	NA	-174.9	NA	408525.0	409353.0	829.0	829.0	antisense_207_ss.jpg
antisense_212	424119	+	862	RNA	NA	NA	NA	-67.6	NA	424483.0	424503.0	21.0	385.0	antisense_212_ss.jpg
antisense_218	447431	+	404	RNA	NA	NA	NA	-4.9	NA	447457.0	447477.0	21.0	47.0	antisense_218_ss.jpg
antisense_221	454793	+	317	RNA	NA	NA	NA	-49.8	[['motif_0', 3, 0.00382]]	454796.0	455102.0	307.0	310.0	antisense_221_ss.jpg
antisense_222	459674	+	862	RNA	Intrinsic	460336.0	460377.0	-119.2	[['motif_0', 28, 0.000789]]	459674.0	460377.0	704.0	704.0	antisense_222_ss.jpg
antisense_223	460831	+	862	RNA	RhoDep	461612.0	461690.0	-213.3	[['motif_0', 29, 3.28e-05]]	460837.0	461840.0	1004.0	1010.0	antisense_223_ss.jpg
antisense_231	485994	+	823	RNA	NA	NA	NA	-52.0	[['motif_0', 30, 0.000789], ['motif_3', 13, 0.000908]]	486279.0	486320.0	42.0	327.0	antisense_231_ss.jpg
antisense_236	503287	+	862	RNA	NA	NA	NA	-63.0	NA	503733.0	503750.0	18.0	464.0	antisense_236_ss.jpg
antisense_237	507273	+	736	RNA	NA	NA	NA	-124.0	[['motif_0', 29, 0.000427]]	507273.0	508008.0	736.0	736.0	antisense_237_ss.jpg
antisense_238	508939	+	862	RNA	NA	NA	NA	-123.1	[['motif_0', 32, 0.000789]]	508939.0	509800.0	862.0	862.0	antisense_238_ss.jpg
antisense_245	526959	+	593	RNA	NA	NA	NA	-72.19	NA	527504.0	527533.0	30.0	575.0	antisense_245_ss.jpg
antisense_246	527552	+	427	RNA	RhoDep	527942.0	528020.0	-93.6	NA	527792.0	528170.0	379.0	619.0	antisense_246_ss.jpg
antisense_253	545342	+	169	COD	NA	NA	NA	NA	[['motif_0', 29, 0.00033], ['motif_3', 2, 0.000253]]	545361.0	545465.0	105.0	124.0	
antisense_254	545511	+	862	RNA	NA	NA	NA	-171.2	[['motif_0', 29, 0.00173]]	545514.0	546372.0	859.0	862.0	antisense_254_ss.jpg
antisense_255	547230	+	792	RNA	Intrinsic	547828.0	547840.0	-125.3	NA	547233.0	547840.0	608.0	611.0	antisense_255_ss.jpg
antisense_259	553529	+	862	COD	RhoDep	553873.0	553951.0	NA	[['motif_0', 15, 0.00173]]	553584.0	554101.0	518.0	573.0	
antisense_260	554713	+	862	RNA	RhoDep	554841.0	554919.0	-66.3	NA	554717.0	555069.0	353.0	357.0	antisense_260_ss.jpg
antisense_262	566427	+	862	RNA	RhoDepWithHP	566700.0	566862.0	-73.9	[['motif_0', 1, 0.00317]]	566588.0	566862.0	275.0	436.0	antisense_262_ss.jpg
antisense_263	567868	+	535	COD	NA	NA	NA	NA	NA	567889.0	568323.0	435.0	456.0	
antisense_264	568403	+	862	RNA	RhoDep	568454.0	568532.0	-46.1	[['motif_0', 30, 0.00192]]	568403.0	568682.0	280.0	280.0	antisense_264_ss.jpg
antisense_279	599041	+	266	RNA	NA	NA	NA	-34.1	[['motif_0', 30, 0.000192]]	599287.0	599298.0	12.0	258.0	antisense_279_ss.jpg
antisense_280	599307	+	655	RNA	NA	NA	NA	-114.0	[['motif_0', 29, 0.00213]]	599307.0	599941.0	635.0	635.0	antisense_280_ss.jpg
antisense_283	602423	+	387	RNA	RhoDep	602693.0	602771.0	-79.5	NA	602632.0	602921.0	290.0	499.0	antisense_283_ss.jpg
antisense_284	602810	+	698	RNA	RhoDep	603248.0	603326.0	-120.3	NA	602811.0	603476.0	666.0	667.0	antisense_284_ss.jpg
antisense_291	627017	+	184	RNA	NA	NA	NA	-28.4	[['motif_0', 30, 0.00261]]	627165.0	627194.0	30.0	178.0	antisense_291_ss.jpg
antisense_292	627201	+	804	RNA	RhoDep	627741.0	627819.0	-135.5	[['motif_0', 30, 0.00062]]	627202.0	627969.0	768.0	769.0	antisense_292_ss.jpg
antisense_293	628005	+	495	RNA	RhoDep	628038.0	628116.0	-40.0	NA	628005.0	628266.0	262.0	262.0	antisense_293_ss.jpg
antisense_294	628500	+	862	RNA	NA	NA	NA	-120.4	[['motif_0', 30, 0.000789]]	629001.0	629063.0	63.0	564.0	antisense_294_ss.jpg
antisense_295	635529	+	112	RNA	NA	NA	NA	-10.0	[['motif_0', 29, 1.14e-05]]	635589.0	635618.0	30.0	90.0	antisense_295_ss.jpg
antisense_297	635641	+	51	COD	NA	NA	NA	NA	NA	635644.0	635676.0	33.0	36.0	
antisense_298	635692	+	799	COD	RhoDep	636001.0	636079.0	NA	[['motif_0', 7, 0.00236]]	635695.0	636229.0	535.0	538.0	
antisense_299	636491	+	633	RNA	NA	NA	NA	-77.9	[['motif_0', 31, 0.000996], ['motif_3', 15, 0.000253]]	636899.0	636946.0	48.0	456.0	antisense_299_ss.jpg
antisense_300	637124	+	862	RNA	RhoDep	637637.0	637715.0	-115.1	[['motif_0', 30, 0.00112]]	637124.0	637865.0	742.0	742.0	antisense_300_ss.jpg
antisense_303	648814	+	240	RNA	RhoDep	648921.0	648999.0	-59.4	[['motif_3', 34, 0.000908]]	648854.0	649149.0	296.0	336.0	antisense_303_ss.jpg
antisense_304	649054	+	487	RNA	RhoDep	649234.0	649312.0	-70.3	NA	649061.0	649462.0	402.0	409.0	antisense_304_ss.jpg
antisense_315	668685	+	862	RNA	RhoDep	669542.0	669620.0	-209.4	NA	668753.0	669770.0	1018.0	1086.0	antisense_315_ss.jpg
antisense_316	676896	+	862	COD	NA	NA	NA	NA	NA	677518.0	677718.0	201.0	823.0	
antisense_321	692899	+	570	COD	RhoDep	693282.0	693360.0	NA	[['motif_0', 29, 0.00288], ['motif_3', 20, 0.000253]]	693023.0	693510.0	488.0	612.0	
antisense_322	693469	+	419	RNA	NA	NA	NA	-58.1	[['motif_0', 29, 0.00139]]	693802.0	693837.0	36.0	369.0	antisense_322_ss.jpg
